num_train,deg,trial,seed,h,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,19,1162,0.01,spo,1000,8.327913,0.368870,0.357332,0.355402,8327.913005,8326.955662,8297.306725,8298.262714,8297.466300
100,1,20,1163,0.01,gbm,1000,8.347994,0.658343,0.666397,0.649941,8347.994116,8348.662061,8293.395159,8295.443980,8294.751114
100,1,20,1163,0.01,lasso,1000,8.294159,0.009211,0.016658,0.000308,8294.159089,8294.776655,8293.395159,8295.443980,8294.751114
100,1,20,1163,0.01,spo,1000,8.316115,0.273948,0.282986,0.266593,8316.114729,8316.864316,8293.395159,8295.443980,8294.751114
100,1,21,1164,0.01,gbm,1000,8.550738,0.537886,0.535920,0.525846,8550.738136,8550.570930,8504.990968,8506.620986,8505.843276
100,1,21,1164,0.01,lasso,1000,8.505945,0.011214,0.010673,0.000651,8505.944721,8505.898683,8504.990968,8506.620986,8505.843276
100,1,21,1164,0.01,spo,1000,8.524000,0.223506,0.226046,0.216003,8524.000162,8524.216177,8504.990968,8506.620986,8505.843276
100,1,22,1165,0.01,gbm,1000,8.572616,0.569574,0.567547,0.552974,8572.616435,8572.443584,8524.065541,8526.238686,8525.300918
100,1,22,1165,0.01,lasso,1000,8.525207,0.013388,0.015206,0.000713,8525.206746,8525.361699,8524.065541,8526.238686,8525.300918
100,1,22,1165,0.01,spo,1000,8.556551,0.381102,0.382684,0.368138,8556.550928,8556.685801,8524.065541,8526.238686,8525.300918
100,1,23,1166,0.01,gbm,1000,8.677059,0.473249,0.476105,0.464808,8677.058833,8677.305442,8636.188118,8638.186219,8637.159207
100,1,23,1166,0.01,lasso,1000,8.637273,0.012567,0.011943,0.000698,8637.273385,8637.219503,8636.188118,8638.186219,8637.159207
100,1,23,1166,0.01,spo,1000,8.668508,0.374240,0.370722,0.359438,8668.508157,8668.204407,8636.188118,8638.186219,8637.159207
100,1,24,1167,0.01,gbm,1000,8.509874,0.534919,0.529005,0.534479,8509.874441,8509.373761,8464.595668,8465.075259,8464.134777
100,1,24,1167,0.01,lasso,1000,8.465459,0.010203,-0.005092,0.000353,8465.459286,8464.164661,8464.595668,8465.075259,8464.134777
