num_train,deg,trial,seed,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,20,1163,gbm,1000,8.522106,17.785920,18.284180,3.175570,8522.106331,8558.156727,7235.250479,8749.914009,8294.751114
100,1,20,1163,lasso,1000,8.368607,15.664376,15.858705,1.059904,8368.607321,8382.667544,7235.250479,8749.914009,8294.751114
100,1,20,1163,spo,1000,8.407237,16.198288,16.609531,1.714826,8407.237171,8436.991624,7235.250479,8749.914009,8294.751114
100,1,21,1164,gbm,1000,8.810428,20.525796,20.476575,3.538590,8810.428244,8806.830163,7309.993798,8940.606258,8505.843276
100,1,21,1164,lasso,1000,8.585938,17.454790,17.601295,1.067549,8585.937900,8596.647339,7309.993798,8940.606258,8505.843276
100,1,21,1164,spo,1000,8.665974,18.549682,19.288380,2.517445,8665.974421,8719.973194,7309.993798,8940.606258,8505.843276
100,1,22,1165,gbm,1000,8.812235,19.528173,19.723098,3.534241,8812.234712,8826.605618,7372.516857,8949.965449,8525.300918
100,1,22,1165,lasso,1000,8.632013,17.083669,16.967525,1.151274,8632.013223,8623.450468,7372.516857,8949.965449,8525.300918
100,1,22,1165,spo,1000,8.711841,18.166439,18.300447,2.303960,8711.840669,8721.720411,7372.516857,8949.965449,8525.300918
100,1,23,1166,gbm,1000,8.866966,19.585276,19.964162,2.985933,8866.965571,8895.059027,7414.763620,9022.640797,8637.159207
100,1,23,1166,lasso,1000,8.741318,17.890716,17.955681,1.261708,8741.317953,8746.134925,7414.763620,9022.640797,8637.159207
100,1,23,1166,spo,1000,8.813088,18.858655,19.463611,2.556224,8813.088283,8857.944385,7414.763620,9022.640797,8637.159207
100,1,24,1167,gbm,1000,8.816130,19.937711,18.905396,3.262164,8816.129962,8740.248699,7350.590472,8918.026277,8464.134777
100,1,24,1167,lasso,1000,8.575504,16.664152,15.976769,0.718828,8575.504023,8524.977324,7350.590472,8918.026277,8464.134777
100,1,24,1167,spo,1000,8.687342,18.185630,17.347768,1.909458,8687.341678,8625.753872,7350.590472,8918.026277,8464.134777
100,1,25,1168,gbm,1000,8.760460,19.838421,19.661863,3.122928,8760.459580,8747.552812,7310.226166,8878.901048,8482.645877
100,1,25,1168,lasso,1000,8.569130,17.221132,17.277303,1.067947,8569.129862,8573.236057,7310.226166,8878.901048,8482.645877
100,1,25,1168,spo,1000,8.653067,18.369347,18.520520,2.139335,8653.066992,8664.118062,7310.226166,8878.901048,8482.645877
100,1,26,1169,gbm,1000,8.804484,19.632116,19.741428,3.337369,8804.483826,8812.528809,7359.632270,8949.616809,8527.920600
100,1,26,1169,lasso,1000,8.635537,17.336530,17.154708,1.105018,8635.537118,8622.155661,7359.632270,8949.616809,8527.920600
100,1,26,1169,spo,1000,8.685856,18.020239,18.036777,1.866248,8685.855622,8687.072727,7359.632270,8949.616809,8527.920600
100,1,27,1170,gbm,1000,8.835030,20.189828,20.006791,4.288395,8835.030318,8821.575468,7350.896864,8907.748494,8458.827506
100,1,27,1170,lasso,1000,8.647538,17.639229,16.909948,1.597174,8647.538411,8593.929696,7350.896864,8907.748494,8458.827506
100,1,27,1170,spo,1000,8.743950,18.950788,18.862302,3.293810,8743.949764,8737.445199,7350.896864,8907.748494,8458.827506
100,1,28,1171,gbm,1000,8.692875,19.117412,19.388298,3.728798,8692.875055,8712.643603,7297.736655,8868.251084,8399.445259
100,1,28,1171,lasso,1000,8.475353,16.136731,16.319497,1.062514,8475.352770,8488.690534,7297.736655,8868.251084,8399.445259
100,1,28,1171,spo,1000,8.661573,18.688488,19.008881,3.399146,8661.573330,8684.954699,7297.736655,8868.251084,8399.445259
100,1,29,1172,gbm,1000,8.787739,18.954201,18.510025,2.940753,8787.738675,8754.925200,7387.497570,8906.850980,8504.819435
100,1,29,1172,lasso,1000,8.649575,17.083968,16.777972,1.436250,8649.575284,8626.969877,7387.497570,8906.850980,8504.819435
100,1,29,1172,spo,1000,8.761320,18.596589,17.950538,2.454769,8761.320107,8713.593133,7387.497570,8906.850980,8504.819435
100,1,30,1173,gbm,1000,8.742389,19.183820,19.169119,3.156274,8742.388882,8741.310554,7335.214543,8921.878029,8473.852548
100,1,30,1173,lasso,1000,8.632543,17.686309,17.197014,1.449162,8632.543241,8596.652402,7335.214543,8921.878029,8473.852548
100,1,30,1173,spo,1000,8.664675,18.124351,17.635893,1.829069,8664.674595,8628.845167,7335.214543,8921.878029,8473.852548
100,1,31,1174,gbm,1000,8.672698,18.207654,18.221602,3.646514,8672.698308,8673.721642,7336.833108,8825.676915,8368.560926
100,1,31,1174,lasso,1000,8.506490,15.942255,15.873787,1.588152,8506.489762,8501.466355,7336.833108,8825.676915,8368.560926
100,1,31,1174,spo,1000,8.548731,16.517993,16.489629,2.128069,8548.730670,8546.649695,7336.833108,8825.676915,8368.560926
100,1,32,1175,gbm,1000,8.693720,19.037401,18.864280,3.056449,8693.719713,8681.076095,7303.351438,8857.438871,8423.612633
100,1,32,1175,lasso,1000,8.505891,16.465583,16.289848,0.824393,8505.890840,8493.056319,7303.351438,8857.438871,8423.612633
100,1,32,1175,spo,1000,8.572470,17.377202,17.239982,1.648167,8572.469548,8562.447878,7303.351438,8857.438871,8423.612633
100,1,33,1176,gbm,1000,8.591496,17.360941,17.608706,2.698028,8591.496328,8609.634150,7320.575557,8839.776587,8383.446401
100,1,33,1176,lasso,1000,8.471946,15.727873,15.561574,0.910436,8471.946379,8459.772322,7320.575557,8839.776587,8383.446401
100,1,33,1176,spo,1000,8.550249,16.797499,16.938895,2.113137,8550.249196,8560.600144,7320.575557,8839.776587,8383.446401
100,1,34,1177,gbm,1000,8.781883,20.512547,20.759505,4.125488,8781.883264,8799.879409,7287.111188,8897.882124,8451.225128
100,1,34,1177,lasso,1000,8.516961,16.877060,17.315877,1.156203,8516.961342,8548.938413,7287.111188,8897.882124,8451.225128
100,1,34,1177,spo,1000,8.604834,18.082922,18.664607,2.319152,8604.833855,8647.221863,7287.111188,8897.882124,8451.225128
100,1,35,1178,gbm,1000,8.644739,18.995035,18.992583,3.308983,8644.739256,8644.561100,7264.789866,8791.493565,8367.676126
100,1,35,1178,lasso,1000,8.470817,16.600987,16.331824,0.998921,8470.816665,8451.262560,7264.789866,8791.493565,8367.676126
100,1,35,1178,spo,1000,8.532351,17.448010,17.707073,2.192908,8532.351157,8551.171540,7264.789866,8791.493565,8367.676126
100,1,36,1179,gbm,1000,8.736738,19.539618,19.345200,3.262321,8736.738274,8722.528882,7308.654977,8883.912372,8446.961884
100,1,36,1179,lasso,1000,8.552176,17.014365,16.720087,0.990967,8552.176233,8530.668469,7308.654977,8883.912372,8446.961884
100,1,36,1179,spo,1000,8.710582,19.181733,18.327162,2.381473,8710.581657,8648.124019,7308.654977,8883.912372,8446.961884
100,1,37,1180,gbm,1000,8.644080,18.950193,19.240264,3.148084,8644.079958,8665.159329,7266.974310,8842.645314,8400.698258
